Waypoint Index,X (meters),Y (meters),Path Index
0,-1.4000000000000004,1.5700000000000003,0
11,1.799999999999999,0.9700000000000002,0
12,1.799999999999999,-0.5299999999999998,0
14,5.200000000000001,-0.6799999999999997,0
9,-1.4000000000000004,-1.38,0
1,-1.549999999999999,2.2200000000000006,0
2,13.65,0.27000000000000046,1
10,12.450000000000001,-1.2299999999999998,1
21,11.1,-0.7799999999999998,1
20,9.500000000000002,-1.48,1
15,8.700000000000001,-1.88,1
23,8.65,0.020000000000000462,1
13,10.15,1.7700000000000005,1
22,9.85,0.7200000000000002,1
3,12.65,1.8200000000000003,1
4,-4.75,-0.6799999999999997,2
5,-4.949999999999999,0.8200000000000003,2
6,-8.25,1.4200000000000004,2
8,-8.25,-1.5799999999999998,2
7,-11.4,-0.1299999999999999,2
16,5.700000000000001,0.3700000000000001,3
19,6.65,-0.07999999999999963,3
24,6.35,-1.13,3
18,7.35,0.7200000000000002,3
17,5.8000000000000025,1.1700000000000004,3
