Waypoint Index,X (meters),Y (meters),Path Index
0,-1.4000000000000004,0.7900000000000005,0
24,-1.549999999999999,2.2400000000000007,0
8,1.8499999999999996,1.4400000000000004,0
20,5.200000000000001,0.8400000000000003,0
23,5.85,1.1900000000000004,0
14,7.3000000000000025,0.7400000000000002,0
18,9.000000000000002,0.7400000000000002,0
19,10.15,1.8400000000000003,0
13,11.200000000000001,2.2400000000000007,0
17,10.15,-0.3599999999999999,0
11,8.700000000000001,-1.8599999999999999,0
10,9.700000000000001,-1.46,0
16,12.4,-0.7599999999999998,0
7,12.300000000000002,-1.8599999999999999,0
15,13.65,0.3400000000000003,0
22,6.65,0.0900000000000003,0
12,6.250000000000002,-1.1099999999999999,0
21,6.15,-0.2599999999999998,0
9,1.8499999999999996,-1.5099999999999998,0
1,-1.4000000000000004,-0.6599999999999997,0
2,-4.799999999999999,-0.7099999999999997,0
6,-5.049999999999999,0.7900000000000005,0
5,-8.3,1.4400000000000004,0
4,-11.5,-0.05999999999999961,0
3,-8.3,-1.5599999999999998,0
