Waypoint Index,X (meters),Y (meters),Path Index
0,-1.3999999999999986,2.1500000000000004,0
13,-1.3499999999999979,0.5499999999999998,0
12,-1.3499999999999979,-0.9500000000000002,0
8,1.8500000000000014,-1.6500000000000001,0
9,1.8500000000000014,1.35,0
1,1.9500000000000028,2.1500000000000004,0
2,-8.25,-1.5,1
4,-8.25,1.5,1
3,-11.399999999999999,0.0,1
5,8.500000000000004,1.5499999999999998,2
10,5.200000000000003,0.7000000000000002,2
11,5.350000000000001,-0.8,2
7,8.500000000000004,-1.4500000000000002,2
6,11.500000000000004,0.04999999999999982,2
14,-4.749999999999998,0.7000000000000002,3
15,-4.949999999999999,-0.8,3
